client_timestamp,ask,bid,last,volume,vwap_today,num_trades_today,low_today,high_today
1641501618894,43183.6,43183.5,43183.6,4354.0134253,43107.7187,34448,42424,43748
1641501671177,43159.5,43151.2,43151.1,4358.90452901,43107.77216,34485,42424,43748
1641502930523,43215.1,43215,43215,4399.02987492,43108.49956,34851,42424,43748
1641503793103,43159.4,43159.3,43159.4,4418.29200449,43108.87743,35054,42424,43748
1641503813398,43159.4,43159.3,43159.4,4418.40069472,43108.87867,35059,42424,43748
1641503877426,43182.5,43182.4,43182.5,4427.63394848,43109.03621,35073,42424,43748
1641504371932,43159.4,43159.3,43159.3,4432.19552153,43109.14413,35168,42424,43748
1641504422260,43150.1,43150,43150,4433.30704191,43109.15659,35177,42424,43748
1641505508859,43143.5,43143.4,43150,4460.63749238,43109.18568,35424,42424,43748
1641506407779,43110.1,43110,43110,4484.91915048,43109.22494,35590,42424,43748
1641507309639,43033.2,43032.7,43028.3,4490.65442521,43109.17807,35766,42424,43748
1641508208989,43140.3,43138.7,43140.3,4641.06166403,43109.7334,37547,42424,43748
1641509107362,43114.8,43114.7,43114.8,4753.98618612,43112.15282,38544,42424,43748
1641510007656,43184.9,43184.8,43184.9,4771.81199674,43112.21348,38820,42424,43748
1641510907526,43129,43128.9,43129,4778.15336259,43112.26375,38982,42424,43748
1641511807335,43124.5,43124.4,43124.5,4782.88240493,43112.26076,39122,42424,43748
1641512707674,43206.3,43206.2,43206.3,4789.46502909,43112.29961,39281,42424,43748
1641513607609,43124.5,43124.4,43124.5,0.00013913,43124.5,1,43124.5,43124.5
1641514506595,42928.3,42928.2,42928.3,39.07957099,42995.72756,455,42917.1,43134.9
1641515407095,42903.2,42903.1,42903.1,56.13425785,42966.25497,676,42860.4,43134.9
1641516307929,42769.9,42769.8,42769.9,79.0109363,42921.13659,928,42737.1,43134.9
1641517207314,42770.4,42770.3,42770.4,331.38569493,42783.79469,1322,42676.7,43134.9
1641518107606,42910,42909.9,42910,366.15949661,42799.0781,1629,42676.7,43134.9
1641519007535,42968.4,42968.3,42968.4,369.2625853,42799.56784,1788,42676.7,43134.9
1641519906736,42920,42919.9,42920.6,390.28760644,42809.15122,1934,42676.7,43134.9
1641520807147,42999.8,42999.7,42999.8,400.62791034,42813.94616,2066,42676.7,43134.9
1641521707798,42876.2,42876.1,42876.2,410.4555968,42816.49824,2203,42676.7,43134.9
1641522607084,42945.1,42944.4,42927.4,416.77675471,42817.82932,2342,42676.7,43134.9
1641523507584,42800.1,42800,42800.1,427.28411748,42818.51242,2490,42676.7,43134.9
1641524407080,42778.2,42778.1,42772.6,431.36979524,42818.36284,2615,42676.7,43134.9
1641525307295,42758.9,42758.8,42774.3,469.00429993,42812.38468,2959,42676.7,43134.9
1641526207645,42278.7,42265.2,42263.8,707.44908601,42662.0325,4929,42119.4,43134.9
1641527107102,41845.3,41844.2,41837.1,1076.57266544,42420.41735,7277,41593.2,43134.9
1641528007736,41800.1,41800,41800.1,1171.17478887,42375.90316,7822,41593.2,43134.9
1641528907109,41736.6,41727.7,41761.5,1318.74259284,42307.47302,9016,41593.2,43134.9
1641529807001,41412.6,41412.5,41427.2,1496.22415322,42197.16195,10189,41238.4,43134.9
1641530707431,41417.6,41417.5,41410.3,1606.47911474,42129.85142,11188,41005,43134.9
1641531607749,41700,41699.9,41690,1657.52357711,42114.37393,11625,41005,43134.9
1641532506683,41736.5,41721.1,41736.5,1696.95323619,42103.69757,11902,41005,43134.9
1641533407451,41801.6,41801.5,41801.6,1829.58991243,42079.7915,12213,41005,43134.9
1642175109386,42961,42960.9,42961,1557.9377117,42586.57784,15482,41800,43384
1642176006422,43096.8,43096.7,43096.8,1617.64399216,42602.84818,15882,41800,43384
1642176907334,42972.6,42972.5,42972.5,1709.58410037,42623.85199,16432,41800,43384
1642177807565,43015.7,43015.6,43015.7,1721.01129407,42626.1968,16676,41800,43384
1642178706671,43143.9,43143.8,43137.4,1808.34631012,42650.97177,17107,41800,43384
1642179607150,43207.1,43207,43207.1,1852.02654278,42664.05657,17334,41800,43384
1642180507668,43143.4,43143.3,43150,1877.97764075,42671.41301,17636,41800,43384
1642181407192,43093.7,43093.6,43093.7,1903.45428885,42677.36913,17900,41800,43384
1642182307490,42950.9,42950.8,42950.9,1935.45338129,42682.09514,18202,41800,43384
1642183206977,42910,42908,42914.9,1959.28368205,42685.04661,18405,41800,43384
1642184107427,42919.2,42917.4,42907.1,1994.12226848,42689.06057,18691,41800,43384
1642185007328,42847.4,42847.3,42847.4,2004.51659415,42689.91757,18940,41800,43384
1642185907536,42970,42969.9,42970,2020.32047519,42691.51863,19169,41800,43384
1642186806363,43075.3,43075.2,43075.3,2069.43261964,42699.89328,19505,41800,43384
1642187707559,43165.2,43165.1,43165.2,2086.04835722,42703.15873,19760,41800,43384
1642188606994,43132.4,43132.3,43132.4,2115.67408718,42708.86277,19978,41800,43384
1642189507321,43190,43189.9,43190,2169.0678093,42723.07263,20382,41800,43388
1642190407843,43115.1,43115,43115.1,2303.23027341,42752.404,20699,41800,43388
1642191306724,43078.5,43075.8,43078.5,2357.7485104,42761.54642,20965,41800,43388
1642192207621,43071.6,43071.5,43071.6,2365.86817439,42762.70811,21128,41800,43388
1642193106630,43123.6,43123.5,43123.6,2427.38412851,42770.82214,21368,41800,43388
1642194006815,43118.1,43118,43132.1,2439.22398627,42772.5534,21551,41800,43388
1642194907110,43276.1,43276,43276.1,2461.09895619,42776.71899,21765,41800,43388
1642195807018,43208.4,43208.3,43208.4,2493.22946085,42783.01591,21969,41800,43388
1642196707106,43288.8,43285,43299.7,2531.06081584,42790.62626,22221,41800,43388
1642197608187,43325.1,43325,43325.1,2564.3906123,42798.14451,22576,41800,43473.1
1642198507204,43320.1,43320,43325.1,2614.01460565,42807.80841,22823,41800,43473.1
1642199406942,43238.5,43235.6,43238,2626.09226575,42809.9697,22988,41800,43473.1
1642200307187,43270.6,43270.5,43270.6,2655.4719709,42814.67259,23126,41800,43473.1
1642201207445,43290.8,43289,43330,2659.93064119,42815.55213,23279,41800,43473.1
1642202107536,43273,43272.9,43273.1,2663.33905624,42816.13739,23453,41800,43473.1
1642203006784,43109.5,43109.4,43109.5,2679.28031687,42818.07092,23841,41800,43473.1
1642203906676,43063.6,43063.5,43063.6,2708.56055097,42821.06066,24012,41800,43473.1
1642204806965,43090.1,43090,43090,0.01016004,43090.00137,4,43090,43090.1
1642205706623,43035.7,43035.6,43037.4,13.70038691,43060.95534,397,42963.1,43170
1642206607395,43082.4,43082.3,43082.3,19.53361193,43062.4016,629,42963.1,43170
1642207507251,43020.8,43020.7,43020.8,29.2058492,43074.09789,793,42963.1,43170
1642208407359,43145.4,43145.3,43145.4,31.04310994,43075.15613,930,42963.1,43170
1642209307228,43142.4,43142.3,43142.4,40.81417423,43093.83712,1061,42963.1,43178.9
1642210207333,43077.5,43077.4,43077.5,57.20878317,43101.36196,1233,42963.1,43178.9
1642211107461,42919.2,42919.1,42919.2,79.06309147,43075.35646,1475,42883.5,43178.9
1642212007472,42991.7,42991.6,42991.7,81.66405685,43071.7813,1605,42883.5,43178.9
1642212907235,43016,43015.9,43016,84.49463688,43069.21416,1713,42883.5,43178.9
1642213806958,43035.2,43035.1,43035.2,91.6211461,43066.54571,1839,42883.5,43178.9
1642214707359,43069.1,43069,43073.2,93.51493415,43066.40999,1954,42883.5,43178.9
1642215607169,43100,43099.9,43099.7,100.12956465,43065.73676,2110,42883.5,43178.9
1642216507318,43100,43099.9,43099.9,116.01746416,43071.37292,2254,42883.5,43178.9
1642217407248,43128.7,43128.6,43128.7,129.93215496,43073.6547,2429,42883.5,43178.9
1642218307433,43058.2,43058.1,43058.1,134.87157975,43073.89899,2561,42883.5,43178.9
1642219207475,42954.6,42954.5,42954.6,138.83286522,43072.36891,2704,42883.5,43178.9
1642220107471,42967.4,42967.3,42967.4,147.75752603,43064.62172,2875,42883.5,43178.9
1642221007443,42846,42845.9,42846,177.68660911,43027.70715,3253,42746.8,43178.9
1642221907514,42870.6,42870.5,42870.6,183.03866485,43022.63818,3411,42746.8,43178.9
1642222806836,42925.2,42923.6,42941,221.03903375,43009.39209,3625,42746.8,43178.9
1642223707031,42897.2,42897.1,42897.2,221.83371001,43009.11692,3730,42746.8,43178.9
1642224607165,42985.7,42985.6,42985.7,223.25291655,43008.48397,3841,42746.8,43178.9
